"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.query_prefix","Input.topic_id","Input.title","Input.criteria","Input.doc_id","Answer.doc_id","Answer.query_prefix","Answer.readability","Answer.relevance","Answer.reliability","Answer.topic_id","Answer.validationCode","Approve","Reject"
"3MIVREZQVHDQHEQ3ZTDH919BGW0QKF","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:25 PDT 2018","","","3KXIR214I5VRYDX92S52VMIZ5J924F","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 01:49:47 PDT 2018","Wed Mar 28 01:50:45 PDT 2018","Sat Mar 31 01:50:45 PDT 2018","","Wed Mar 28 15:33:25 PDT 2018","x","58","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1500tw-66-00468","clueweb12-1500tw-66-00468","126","70","1","60","247m3y","5mFGTUWr8EM_M1LCcpC1a3Yluro=","","x"
"3XJOUITW8U6PKXGQT2R9ASW7Z9RQTL","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:27 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:25 PDT 2018","","","3BDCF01OGY9DX6X115BEQ7LF6K3LYC","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:43:44 PDT 2018","Wed Mar 28 02:43:55 PDT 2018","Sat Mar 31 02:43:55 PDT 2018","","Wed Mar 28 15:33:24 PDT 2018","x","11","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0000wb-01-04190","clueweb12-0000wb-01-04190","126","70","2","70","247m3y","3D1jmVapeLvReOkrcIoCUu8siR8=","","x"
"3JVP4ZJHDP7BNQVGISYQHF3GBOE0IH","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:23 PDT 2018","","","3R6P78PK7LQ1USK6G8RZ5YOSV1ZTGP","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:44:44 PDT 2018","Wed Mar 28 02:44:53 PDT 2018","Sat Mar 31 02:44:53 PDT 2018","","Wed Mar 28 15:33:22 PDT 2018","x","9","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1502wb-19-23088","clueweb12-1502wb-19-23088","126","60","0","80","247m3y","YnCk566GisHmolaW_cent-t5xAU=","","x"
"3BC9H1KCYURQLGB6FHDEAY682CQYWM","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:21 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:25 PDT 2018","","","33F859I567SFY2L00SIWQ4U74UBHBL","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:26:36 PDT 2018","Wed Mar 28 02:26:47 PDT 2018","Sat Mar 31 02:26:47 PDT 2018","","Wed Mar 28 15:33:25 PDT 2018","x","11","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1503wb-49-05498","clueweb12-1503wb-49-05498","126","70","2","70","247m3y","Cx-0128jp-n-Bco47tsnrZieVmk=","","x"
"3D4BBDG7ZHBGRF8D95KN8A3S1VE3CD","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:23 PDT 2018","","","32VNZTT0A8J82XEUHIK3WUQ7HBS4RZ","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:27:14 PDT 2018","Wed Mar 28 02:27:28 PDT 2018","Sat Mar 31 02:27:28 PDT 2018","","Wed Mar 28 15:33:22 PDT 2018","x","14","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1508wb-34-07601","clueweb12-1508wb-34-07601","126","80","1","70","247m3y","JMs7YlCJjgDKFX7NEQ1J9wTKYbM=","","x"
"33TGB4G0LPW9TUH2FGM140S0WCETXL","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:28 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:26 PDT 2018","","","39KFRKBFIOAL3R0YEXR6IOP91P8YO6","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:46:20 PDT 2018","Wed Mar 28 02:46:31 PDT 2018","Sat Mar 31 02:46:31 PDT 2018","","Wed Mar 28 15:33:25 PDT 2018","x","11","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0410wb-51-17776","clueweb12-0410wb-51-17776","126","70","1","70","247m3y","ayFEmeZfSik4Q8Ji3rrCIi5HwLs=","","x"
"3X2LT8FDHWXB6AKO2DFKBLI69XNW86","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:21 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:26 PDT 2018","","","3BC8WZX3V4BF33GSSUGG4N1H9PDRR6","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:46:50 PDT 2018","Wed Mar 28 02:48:40 PDT 2018","Sat Mar 31 02:48:40 PDT 2018","","Wed Mar 28 15:33:25 PDT 2018","x","110","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1509wb-79-02849","clueweb12-1509wb-79-02849","126","80","1","70","247m3y","UPmJrxGrAAzLT_CppN-u_YJHYhw=","","x"
"3E24UO25QZ5GXNSYICRCAD9T00YO60","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:21 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:26 PDT 2018","","","3RGU30DZTBN78ZKNFHBQGXLGTLKMJL","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:45:50 PDT 2018","Wed Mar 28 02:46:00 PDT 2018","Sat Mar 31 02:46:00 PDT 2018","","Wed Mar 28 15:33:26 PDT 2018","x","10","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1511wb-70-07121","clueweb12-1511wb-70-07121","126","60","1","70","247m3y","QTxNLrPhAGIkZAqsLCNwF4MU6fA=","","x"
"3NKW03WTLMMHCEKKO7WKXC36339WQH","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:28 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:26 PDT 2018","","","35USIKEBNSV12MQG7ZW1K85BC5AN6G","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 02:39:40 PDT 2018","Wed Mar 28 02:39:58 PDT 2018","Sat Mar 31 02:39:58 PDT 2018","","Wed Mar 28 15:33:26 PDT 2018","x","18","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0410wb-97-32357","clueweb12-0410wb-97-32357","126","70","1","70","247m3y","NWYJKfXIZSsJZWfhAkpoar9qsIM=","","x"
"33Q5P9PUSP1HC8F6UCFWCB87GQCZC5","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:28 PDT 2018","2","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 15:33:26 PDT 2018","","","34PGFRQONPQ3DBE1JJHDPVN7RNUWJI","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 01:59:22 PDT 2018","Wed Mar 28 01:59:32 PDT 2018","Sat Mar 31 01:59:32 PDT 2018","","Wed Mar 28 15:33:26 PDT 2018","x","10","1% (9/1034)","1% (9/1034)","67% (8/12)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0411wb-02-29918","clueweb12-0411wb-02-29918","126","60","1","60","247m3y","FCvj59Vnh_1O3-R96eXhZC03H4c=","","x"
