"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.query_prefix","Input.topic_id","Input.title","Input.criteria","Input.doc_id","Answer.doc_id","Answer.query_prefix","Answer.readability","Answer.relevance","Answer.reliability","Answer.topic_id","Answer.validationCode","Approve","Reject"
"3WRBLBQ2GRNXRZPLS4YNW3Q0WBO0GR","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:55 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 08:51:49 PDT 2018","","","33PPO7FECWU89UU4K6RNL6JM7RMDIZ","A1RU9BQLDZ1DSY","Rejected","Tue Mar 27 23:24:07 PDT 2018","Tue Mar 27 23:25:22 PDT 2018","Fri Mar 30 23:25:22 PDT 2018","","Thu Mar 29 08:51:49 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","75","18% (68/372)","18% (68/372)","18% (68/372)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-0000wb-94-09294","clueweb12-0000wb-94-09294","129","60","1","60","3gwhon","uUa_1LqxMXAv5fm9BmJ33M99CbU=","","x"
"307L9TDWJY7ZIJ54YVT1OLX40ZTN3G","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:55 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 09:06:33 PDT 2018","","","31Q0U3WYDQUHSFXWLM3VTFS44EB71B","AKATSYE8XLYNL","Rejected","Wed Mar 28 00:06:50 PDT 2018","Wed Mar 28 00:07:15 PDT 2018","Sat Mar 31 00:07:15 PDT 2018","","Thu Mar 29 09:06:32 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","25","7% (5/68)","7% (5/68)","7% (5/68)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-0001wb-06-34540","clueweb12-0001wb-06-34540","129","40","1","40","3gwhon","Nl6PzY9KYJMYLoX8gN2boyVYDUY=","","x"
"306996CF6WZ1772S81A99XIDLQ1B1N","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:50 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 08:36:19 PDT 2018","","","352YTHGROWSVD30RLD89IQO1U1EH4X","AZZM966F90AL1","Rejected","Tue Mar 27 23:28:52 PDT 2018","Tue Mar 27 23:29:20 PDT 2018","Fri Mar 30 23:29:20 PDT 2018","","Thu Mar 29 08:36:18 PDT 2018","x","28","57% (587/1024)","57% (587/1024)","57% (587/1024)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-1516wb-07-05554","clueweb12-1516wb-07-05554","129","10","0","0","3gwhon","E88BF3cRdFfTM1R1gR5dFmI_ES8=","","x"
"3QE4DGPGBRQEQN7MB5LP86GDDN3G4M","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:55 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 09:06:35 PDT 2018","","","34Z02EIMITS4JO9L262WK61COJWT06","AKATSYE8XLYNL","Rejected","Wed Mar 28 00:11:51 PDT 2018","Wed Mar 28 00:12:55 PDT 2018","Sat Mar 31 00:12:55 PDT 2018","","Thu Mar 29 09:06:35 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","64","7% (5/68)","7% (5/68)","7% (5/68)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-0002wb-52-09437","clueweb12-0002wb-52-09437","129","30","1","30","3gwhon","Hv7jDOGBV0c8-D_zbYOw_7p0Ctc=","","x"
"3HYV4299H0BHPAYXHDLEPFB62TK8E4","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:49 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 08:51:50 PDT 2018","","","3TYCR1GOTDYD2W76XRDX4EUHCDSZL0","A1RU9BQLDZ1DSY","Rejected","Tue Mar 27 23:59:34 PDT 2018","Wed Mar 28 00:02:52 PDT 2018","Sat Mar 31 00:02:52 PDT 2018","","Thu Mar 29 08:51:50 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","198","18% (68/372)","18% (68/372)","18% (68/372)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-1600tw-37-06838","clueweb12-1600tw-37-06838","129","60","1","60","3gwhon","F-s0XkYxXhTb02PQCO-1yH7ggUw=","","x"
"3ZUE82NE0AG9VOYTCO5K7XW6EUZ8FM","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:50 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 08:36:19 PDT 2018","","","3DBQWDE4Y7D5JIQ22GMWS2RBG9CN5B","AZZM966F90AL1","Rejected","Tue Mar 27 22:19:36 PDT 2018","Tue Mar 27 22:19:54 PDT 2018","Fri Mar 30 22:19:54 PDT 2018","","Thu Mar 29 08:36:18 PDT 2018","x","18","57% (587/1024)","57% (587/1024)","57% (587/1024)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-1601wb-53-00568","clueweb12-1601wb-53-00568","129","20","0","20","3gwhon","sTNoVc3JTfiGAY4xaBHQh0tyKmA=","","x"
"3J5XXLQDHMQCQOED0MFSY2RHM2VV35","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:55 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 09:06:38 PDT 2018","","","3VFJCI1K40EOED7ECJM45JNA7FOGRJ","AKATSYE8XLYNL","Rejected","Wed Mar 28 00:05:26 PDT 2018","Wed Mar 28 00:05:56 PDT 2018","Sat Mar 31 00:05:56 PDT 2018","","Thu Mar 29 09:06:37 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","30","7% (5/68)","7% (5/68)","7% (5/68)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-0003wb-77-08625","clueweb12-0003wb-77-08625","129","20","1","30","3gwhon","jAZCFuCFCylYoEKAd5bgEblt0KQ=","","x"
"3MYASTQBG7QI38KT7CRU5OELWN5DQR","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:50 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 09:06:38 PDT 2018","","","3IAS3U3I0GVBJCIIH7FP30O5FAG2B9","AKATSYE8XLYNL","Rejected","Wed Mar 28 00:00:27 PDT 2018","Wed Mar 28 00:01:08 PDT 2018","Sat Mar 31 00:01:08 PDT 2018","","Thu Mar 29 09:06:37 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","41","7% (5/68)","7% (5/68)","7% (5/68)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-1602wb-48-05784","clueweb12-1602wb-48-05784","129","20","1","30","3gwhon","3HwSqiq0nZn3uDf7islm-zFxny4=","","x"
"3AFT28WXLFHWQ7NZKD017GZY9RVIOQ","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:55 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 09:06:38 PDT 2018","","","3180JW2OT5R90SZHNIU4ZVAU7PH5JZ","AKATSYE8XLYNL","Rejected","Wed Mar 28 00:11:19 PDT 2018","Wed Mar 28 00:11:50 PDT 2018","Sat Mar 31 00:11:50 PDT 2018","","Thu Mar 29 09:06:37 PDT 2018","We revised the quality of your work as you failed all the honeypots we put in our HITs: this triggered the revision which made us manually  and carefully assess your work.","31","7% (5/68)","7% (5/68)","7% (5/68)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-0505wb-05-02280","clueweb12-0505wb-05-02280","129","30","1","40","3gwhon","7s1diw9TXUfBBZndvDz5ABaOQJM=","","x"
"324N5FAHSXQIMMMKLS7RFO8JXOHKV5","3JOPS26JUGPVLTIO11BJ3Y0F0D5Y7L","29 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 21:00:50 PDT 2018","2","BatchId:3171328;OriginalHitTemplateId:926158642;","1200","259200","Thu Apr 05 08:36:19 PDT 2018","","","36AHBNMV1SRUZU99OODQ7UDAXAEDYZ","AZZM966F90AL1","Rejected","Tue Mar 27 22:19:19 PDT 2018","Tue Mar 27 22:19:32 PDT 2018","Fri Mar 30 22:19:32 PDT 2018","","Thu Mar 29 08:36:18 PDT 2018","x","13","57% (587/1024)","57% (587/1024)","57% (587/1024)","129","3gwhon","Full Body Spasm and Salt Cravings","Results should discuss the motor tics, fasciculations or cramping abdominal pain in the context of anxiety and/or depression. The documents could contain general information about motor tics, or simply be a list of symptoms associated with anxiety or depression which includes motor tics or abdominal cramps. ","clueweb12-1602wb-71-28487","clueweb12-1602wb-71-28487","129","90","2","100","3gwhon","FNKLUs6gdL4vCvQnz61Cv0TJfMo=","","x"
