"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.query_prefix","Input.topic_id","Input.title","Input.criteria","Input.doc_id","Answer.doc_id","Answer.query_prefix","Answer.readability","Answer.relevance","Answer.reliability","Answer.topic_id","Answer.validationCode","Approve","Reject"
"34R3P23QHSG4ZLLH5H9QOYB5CHNWHX","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:39 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:22 PDT 2018","","","3Z2R0DQ0JIT9QFU2RYHF48UQI8FE29","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 03:41:22 PDT 2018","Wed Mar 28 03:41:42 PDT 2018","Sat Mar 31 03:41:42 PDT 2018","","Wed Mar 28 14:58:21 PDT 2018","x","20","0% (1/1022)","0% (1/1022)","0% (1/1022)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1601wb-62-21637","clueweb12-1601wb-62-21637","142","90","2","20","3167of","nmeahJxKVmUI6sVJaQFWsYA6614=","","x"
"38EHZ67RIM7UUDWSH9LLU0XDZFWMGX","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:40 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:22 PDT 2018","","","336YQZE83WTZ1052QF7WFN2BBKVM55","A3S104I5V53HB8","Rejected","Wed Mar 28 03:32:58 PDT 2018","Wed Mar 28 03:33:18 PDT 2018","Sat Mar 31 03:33:18 PDT 2018","","Wed Mar 28 14:58:21 PDT 2018","x","20","36% (261/720)","36% (261/720)","36% (261/720)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1601wb-63-28109","clueweb12-1601wb-63-28109","142","0","0","0","3167of","k5eAaR2K_97qmipn40UFPCO8zkw=","","x"
"338431Z1FLU9J6QIA0UAL80PWOMORA","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:40 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:22 PDT 2018","","","3X0H8UUIT23WCEXR6DQRHWEUN6HWS8","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 03:35:20 PDT 2018","Wed Mar 28 03:35:35 PDT 2018","Sat Mar 31 03:35:35 PDT 2018","","Wed Mar 28 14:58:21 PDT 2018","x","15","0% (1/1022)","0% (1/1022)","0% (1/1022)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1603wb-92-17777","clueweb12-1603wb-92-17777","142","80","2","40","3167of","U01rCrbQLHLLxOQqEzrPjugpZoQ=","","x"
"3JTPR5MTZSR1OS75F1PEBQEKK1NK58","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:40 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:22 PDT 2018","","","3JBT3HLQF9H3THM4PJ64LV31HOCZPJ","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 03:23:56 PDT 2018","Wed Mar 28 03:24:06 PDT 2018","Sat Mar 31 03:24:06 PDT 2018","","Wed Mar 28 14:58:22 PDT 2018","x","10","0% (1/1022)","0% (1/1022)","0% (1/1022)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1604wb-03-04351","clueweb12-1604wb-03-04351","142","70","2","80","3167of","Lwe72Rv80Ny-Y8YIAPwUFrJ4dgA=","","x"
"3HUR21WDDU45AGGWPM90CHKFBF6YXR","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:45 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:22 PDT 2018","","","3NPFYT4IZDJ8B9TQLISWU19Y8XWXGL","AZ7GSYRVDR23N","Rejected","Wed Mar 28 03:47:47 PDT 2018","Wed Mar 28 03:48:41 PDT 2018","Sat Mar 31 03:48:41 PDT 2018","","Wed Mar 28 14:58:22 PDT 2018","x","54","48% (284/591)","48% (284/591)","48% (284/591)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-0410wb-88-24422","clueweb12-0410wb-88-24422","142","70","1","70","3167of","Fgsd6OboEmgK_O5BrUyW6lz86Js=","","x"
"31N9JPQXIPXECRC3DGI3SFYEJ5JHNR","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:45 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:24 PDT 2018","","","34HJIJKLP6B0V4VBQ2PDXRFA2HE4V1","A1XA2WZVXTTLOI","Rejected","Wed Mar 28 03:40:11 PDT 2018","Wed Mar 28 03:41:01 PDT 2018","Sat Mar 31 03:41:01 PDT 2018","","Wed Mar 28 14:58:24 PDT 2018","x","50","53% (365/692)","53% (365/692)","53% (365/692)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-0411wb-13-07670","clueweb12-0411wb-13-07670","142","70","1","80","3167of","hWva1gwmFrq-TfST1sQR2vh30Ek=","","x"
"3IKMEYR0LWA9PVOIXINGDJB80RWK27","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:40 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:21 PDT 2018","","","3AMW0RGHOEH9CS8LMVVAQ8WS7A9PNX","A1XA2WZVXTTLOI","Rejected","Wed Mar 28 03:46:45 PDT 2018","Wed Mar 28 03:47:12 PDT 2018","Sat Mar 31 03:47:12 PDT 2018","","Wed Mar 28 14:58:21 PDT 2018","x","27","53% (365/692)","53% (365/692)","53% (365/692)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1604wb-35-02716","clueweb12-1604wb-35-02716","142","70","1","90","3167of","BbHNYQKZ78YwRQljS7SLZViOq_Q=","","x"
"37VE3DA4YUWCBIN6AQDU1KYK2G5HB2","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:40 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:22 PDT 2018","","","30LB5CDZNDP050IK8YRE6U2T9G3Z0F","A3S104I5V53HB8","Rejected","Wed Mar 28 03:37:57 PDT 2018","Wed Mar 28 03:38:16 PDT 2018","Sat Mar 31 03:38:16 PDT 2018","","Wed Mar 28 14:58:21 PDT 2018","x","19","36% (261/720)","36% (261/720)","36% (261/720)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1604wb-43-02318","clueweb12-1604wb-43-02318","142","0","0","0","3167of","tDuX1ftVPSYrBSNmtdtmZmgTDXw=","","x"
"3EKZL9T8Y81VLNFCOQ9PC442K15HC9","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:40 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:24 PDT 2018","","","3QY7M81QH81JYGJITW9DYUO3DLU7KZ","A1EF7PCXWNTUXR","Rejected","Wed Mar 28 03:25:00 PDT 2018","Wed Mar 28 03:25:15 PDT 2018","Sat Mar 31 03:25:15 PDT 2018","","Wed Mar 28 14:58:24 PDT 2018","x","15","0% (1/1022)","0% (1/1022)","0% (1/1022)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge. ","clueweb12-1605wb-21-27310","clueweb12-1605wb-21-27310","142","80","1","70","3167of","WCcp821xEapcHFHTexqOfKTgRXE=","","x"
"3MXX6RQ9EVKK300LEOBC2FU5EFYP49","3EH3OJYIRZCD4VGM84N3DP251LBYAC","42 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised7","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Wed Mar 28 03:13:46 PDT 2018","2","BatchId:3171502;OriginalHitTemplateId:926158642;","1200","259200","Wed Apr 04 14:58:24 PDT 2018","","","3X4MXAO0BH3KBZXEROQMRM9Y14VWRH","A3RYO4RE80IJ84","Rejected","Wed Mar 28 03:14:51 PDT 2018","Wed Mar 28 03:15:21 PDT 2018","Sat Mar 31 03:15:21 PDT 2018","","Wed Mar 28 14:58:23 PDT 2018","x","30","0% (0/305)","0% (0/305)","0% (0/305)","142","3167of","[F, 24] Bleeding and discharge from right nipple with small clot. Not insured, post hysterectomy (~5 years ago)","Results should discuss the types of discharge that can occur from a female nipple and the potential causes of the different types of discharge.","clueweb12-0000wb-18-34102","clueweb12-0000wb-18-34102","142","60","1","50","3167of","M7sNRfdHmQbDyxSTJz4wNYvyTtc=","","x"
