"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.query_prefix","Input.topic_id","Input.title","Input.criteria","Input.doc_id","Answer.doc_id","Answer.query_prefix","Answer.readability","Answer.relevance","Answer.reliability","Answer.topic_id","Answer.validationCode","Approve","Reject"
"3VGET1QSZ0E76WF5S8NEXLMBYDHW7J","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:20 PDT 2018","","","3S3AMIZX3VKHWR84SWV1A3LRUNJCDF","A3RYO4RE80IJ84","Submitted","Wed Mar 28 02:36:09 PDT 2018","Wed Mar 28 02:36:24 PDT 2018","Sat Mar 31 02:36:24 PDT 2018","","","","15","0% (0/227)","0% (0/227)","0% (0/227)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1413wb-65-21807","clueweb12-1413wb-65-21807","126","50","1","60","247m3y","EFp0BrPhh5SPPiZ3VyyExT5dHwc=","","x"
"3MIVREZQVHDQHEQ3ZTDH919BGW0QKF","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:20 PDT 2018","","","3KXIR214I5VRYDX92S52VMIZ5J924F","A1EF7PCXWNTUXR","Submitted","Wed Mar 28 01:49:47 PDT 2018","Wed Mar 28 01:50:45 PDT 2018","Sat Mar 31 01:50:45 PDT 2018","","","","58","0% (1/911)","0% (1/911)","0% (1/911)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1500tw-66-00468","clueweb12-1500tw-66-00468","126","70","1","60","247m3y","5mFGTUWr8EM_M1LCcpC1a3Yluro=","","x"
"3XJOUITW8U6PKXGQT2R9ASW7Z9RQTL","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:27 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:27 PDT 2018","","","3BDCF01OGY9DX6X115BEQ7LF6K3LYC","A1EF7PCXWNTUXR","Submitted","Wed Mar 28 02:43:44 PDT 2018","Wed Mar 28 02:43:55 PDT 2018","Sat Mar 31 02:43:55 PDT 2018","","","","11","0% (1/911)","0% (1/911)","0% (1/911)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0000wb-01-04190","clueweb12-0000wb-01-04190","126","70","2","70","247m3y","3D1jmVapeLvReOkrcIoCUu8siR8=","","x"
"3JVP4ZJHDP7BNQVGISYQHF3GBOE0IH","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:20 PDT 2018","","","3R6P78PK7LQ1USK6G8RZ5YOSV1ZTGP","A1EF7PCXWNTUXR","Submitted","Wed Mar 28 02:44:44 PDT 2018","Wed Mar 28 02:44:53 PDT 2018","Sat Mar 31 02:44:53 PDT 2018","","","","9","0% (1/911)","0% (1/911)","0% (1/911)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1502wb-19-23088","clueweb12-1502wb-19-23088","126","60","0","80","247m3y","YnCk566GisHmolaW_cent-t5xAU=","","x"
"3RTFSSG7T8L6LH47W2OOGQ4CTXMWLS","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:28 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:28 PDT 2018","","","32RIADZISTJK3CE7W7K8M4V33D9S49","A3RYO4RE80IJ84","Submitted","Wed Mar 28 02:08:25 PDT 2018","Wed Mar 28 02:08:43 PDT 2018","Sat Mar 31 02:08:43 PDT 2018","","","","18","0% (0/227)","0% (0/227)","0% (0/227)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0000wb-27-29021","clueweb12-0000wb-27-29021","126","60","1","60","247m3y","NxD6z_rPHeIwQQRBBVx6TplYWPw=","","x"
"311HQEI8RSVB0RKA3V7LWPGTFFLZ7C","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:28 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:28 PDT 2018","","","3BDCF01OGY9DX6X115BEQ7LF6K0YLM","A3RYO4RE80IJ84","Submitted","Wed Mar 28 02:11:42 PDT 2018","Wed Mar 28 02:12:02 PDT 2018","Sat Mar 31 02:12:02 PDT 2018","","","","20","0% (0/227)","0% (0/227)","0% (0/227)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0000wb-38-35482","clueweb12-0000wb-38-35482","126","50","1","50","247m3y","fn7LBUoy1jyRhvCP2jqJYpoImrk=","","x"
"3BC9H1KCYURQLGB6FHDEAY682CQYWM","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:21 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:21 PDT 2018","","","33F859I567SFY2L00SIWQ4U74UBHBL","A1EF7PCXWNTUXR","Submitted","Wed Mar 28 02:26:36 PDT 2018","Wed Mar 28 02:26:47 PDT 2018","Sat Mar 31 02:26:47 PDT 2018","","","","11","0% (1/911)","0% (1/911)","0% (1/911)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1503wb-49-05498","clueweb12-1503wb-49-05498","126","70","2","70","247m3y","Cx-0128jp-n-Bco47tsnrZieVmk=","","x"
"3PUOXASB57IFEA83IS55AL7ZA59Z9O","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:28 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:28 PDT 2018","","","3WMOAN2SRCCMHC5H8749W0LATYYNV4","A3RYO4RE80IJ84","Submitted","Wed Mar 28 02:09:20 PDT 2018","Wed Mar 28 02:09:37 PDT 2018","Sat Mar 31 02:09:37 PDT 2018","","","","17","0% (0/227)","0% (0/227)","0% (0/227)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-0407wb-58-02871","clueweb12-0407wb-58-02871","126","50","1","50","247m3y","cS5aFSPna_Ld3oLIvLnMkZHN8bY=","","x"
"3D4BBDG7ZHBGRF8D95KN8A3S1VE3CD","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:20 PDT 2018","","","32VNZTT0A8J82XEUHIK3WUQ7HBS4RZ","A1EF7PCXWNTUXR","Submitted","Wed Mar 28 02:27:14 PDT 2018","Wed Mar 28 02:27:28 PDT 2018","Sat Mar 31 02:27:28 PDT 2018","","","","14","0% (1/911)","0% (1/911)","0% (1/911)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1508wb-34-07601","clueweb12-1508wb-34-07601","126","80","1","70","247m3y","JMs7YlCJjgDKFX7NEQ1J9wTKYbM=","","x"
"3W9XHF7WGKA39UIVGX7CE6KY03ZTKW","3XMLB3JQD6MMJDTNCNPJFBBHUKQK0C","26 of 50: Assess relevance of webpage to health topic (WARNING: HIT may contain adult content. Worker discretion advised)","Judge the topic relevance, readability, and reliability of the given web page","assess, web page, relevance","$0.07","Tue Mar 27 20:39:20 PDT 2018","1","BatchId:3171314;OriginalHitTemplateId:926158642;","1200","259200","Tue Apr 03 20:39:20 PDT 2018","","","3NGMS9VZTMXLXN6AA4GS699F3DOFF1","A3RYO4RE80IJ84","Submitted","Wed Mar 28 02:06:15 PDT 2018","Wed Mar 28 02:06:52 PDT 2018","Sat Mar 31 02:06:52 PDT 2018","","","","37","0% (0/227)","0% (0/227)","0% (0/227)","126","247m3y","My wife has mild but worsening symptoms that our doctors can't diagnose","Documents should discuss multisystem diseases that are difficult to diagnose. The document should discuss symptoms of a condition, and these symptoms should include one of: paresthesias, dizziness, balance impairment, shortness of breath, palpitations or fatigue","clueweb12-1509wb-47-28547","clueweb12-1509wb-47-28547","126","60","1","60","247m3y","81O3ssdxH1JKwsmc5rSp74GD_Lw=","","x"
